_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.18432111740112306, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529119406131653
"geometry_msgs.msg.Vector3(x=0.2, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529119414163928
"geometry_msgs.msg.Vector3(x=0.1960860013961792, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529120577160156
"geometry_msgs.msg.Vector3(x=0.16863460540771485, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529120581472779
"geometry_msgs.msg.Vector3(x=0.1470656394958496, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529120584866847
"geometry_msgs.msg.Vector3(x=0.12941831350326538, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529120593592005
"geometry_msgs.msg.Vector3(x=0.1078493595123291, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529120596855034
"geometry_msgs.msg.Vector3(x=0.07059388756752015, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529120600973925
"geometry_msgs.msg.Vector3(x=0.04314249157905579, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529120605343846
"geometry_msgs.msg.Vector3(x=0.0039262063801288605, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529120613088074
"geometry_msgs.msg.Vector3(x=-0.0, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529120617495041
"geometry_msgs.msg.Vector3(x=0.013730277121067048, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529121054082536
"geometry_msgs.msg.Vector3(x=0.04314249157905579, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529121057553558
"geometry_msgs.msg.Vector3(x=0.0764763355255127, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529121062159246
"geometry_msgs.msg.Vector3(x=0.11177098751068115, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529121065650626
"geometry_msgs.msg.Vector3(x=0.14510482549667358, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529121073557022
"geometry_msgs.msg.Vector3(x=0.18432111740112306, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529121077105726
"geometry_msgs.msg.Vector3(x=0.2, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529121081928886
"geometry_msgs.msg.Vector3(x=0.08628040552139282, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529122033343224
"geometry_msgs.msg.Vector3(x=-0.0, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529122038899024
