_header,_axes,_buttons,timestamp
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529114, nanosec=217426740), frame_id='joy')","array('f', [-0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529114217577884
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529115, nanosec=357808561), frame_id='joy')","array('f', [-0.0, 0.8431730270385742, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529115358240669
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529115, nanosec=361404701), frame_id='joy')","array('f', [-0.0, 0.7255241274833679, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529115361795838
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529115, nanosec=364987808), frame_id='joy')","array('f', [-0.0, 0.578463077545166, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529115365310474
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529115, nanosec=373038653), frame_id='joy')","array('f', [-0.0, 0.40198981761932373, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529115373476886
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529115, nanosec=377997241), frame_id='joy')","array('f', [-0.0, 0.2059083878993988, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529115378395244
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529115, nanosec=381488652), frame_id='joy')","array('f', [-0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529115381802785
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529116, nanosec=53381888), frame_id='joy')","array('f', [-0.0, 0.009826960042119026, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529116053803893
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529116, nanosec=56911393), frame_id='joy')","array('f', [-0.0, 0.2059083878993988, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529116057225700
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529116, nanosec=61553967), frame_id='joy')","array('f', [-0.0, 0.41179388761520386, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529116061907516
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529116, nanosec=65051049), frame_id='joy')","array('f', [-0.0, 0.6274834275245667, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529116065367185
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529116, nanosec=73045379), frame_id='joy')","array('f', [-0.0, 0.7941526770591736, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529116073398687
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529116, nanosec=77646004), frame_id='joy')","array('f', [-0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529116077992316
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=152960020), frame_id='joy')","array('f', [-0.0, 0.8823893070220947, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117153348473
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=157550217), frame_id='joy')","array('f', [-0.0, 0.735328197479248, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117157883828
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=161077052), frame_id='joy')","array('f', [-0.0, 0.5980712175369263, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117161415606
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=165651431), frame_id='joy')","array('f', [-0.0, 0.40198981761932373, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117165964281
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=173757822), frame_id='joy')","array('f', [-0.0, 0.1666920930147171, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117174086730
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=176767363), frame_id='joy')","array('f', [-0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117177049745
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=713438667), frame_id='joy')","array('f', [-0.0, 0.04904324561357498, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117713615464
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=716787630), frame_id='joy')","array('f', [-0.0, 0.21571245789527893, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117716910138
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=721126791), frame_id='joy')","array('f', [-0.0, 0.3431653678417206, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117721299069
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=725600320), frame_id='joy')","array('f', [-0.0, 0.5588549375534058, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117725744854
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=733193477), frame_id='joy')","array('f', [-0.0, 0.7255241274833679, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117733372848
